job_title,job_description
CYS Program Associate Homework Lab NF-03,"The Area of Consideration for this vacancy announcement is worldwide. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at Fort Carson Child and Youth Services To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume."
Social Worker (Outpatient PACT/ GM &Specialty Clinics),"This position is to provide social work services to PACT/GM &amp; Specialty clinics within VA Ann Arbor at the Jackson Community-Based Outpatient Clinics (CBOC). This position is responsible for providing Outpatient Social Work services to Veterans at the Jackson CBOC who are receiving medical care predominately in the Patient Aligned Care Team (PACT) clinics, Specialty clinics, Emergency Department and as a part of SW triage walk-in clinic located within the Jackson/hospital setting."
NURSE (SPECIALIST),"You will serve as a Nurse (Specialist) in the Directorate for Nursing Services of NAVHOSP GTMO.
Relocation and recruitment incentives up to 25% may be authorized."
Occupational Therapist,This assignment carries responsibility for providing occupational therapy treatment to veteran patients according to the North Florida/South Georgia VAMC mission and the Physical Medicine and Rehabilitation guidelines.
Motor Vehicle Operator,"About the Position: This Position is located at: 99th Regional Support Command, Equipment Concentration Site (ECS) 88, located at Fort Pickett, VA."
Administrative Support Assistant,"Explore a new career with the BLM - where our people are our greatest natural resource.BLM is seeking a dynamic and energeticindividual to join the team at theColorado River ValleyField Office, the Kremmling Field Office, and the White River Field Officeto provide Visitor Information and perform other administrative functions.For additional information about the BLM, please visit our website."
Auditor,"TTB's mission is to collect alcohol, tobacco, firearms and ammunition excise taxes; to ensure that alcohol beverages are labeled, advertised and marketed in accordance with the law; and to administer the laws and regulations in a manner that protects the revenue, protects the consumer, and promotes voluntary compliance. TTB is recognized as one of the Federal government&rsquo;s best places to work. We ranked in the top 2% of agency subcomponents (#8 of 415) in 2018. See www.bestplacestowork.org."
HEALTH TECHNICIAN,"This HEALTH TECHNICIAN position, is located in the Medical Group at an Air National Guard (ANG) Wing and reports to the Health System Specialist and is part of the CA 144 FW."
"Safety, Occupational Health and Environmental Manager","This position serves on the staff of the Superintendent which is responsible for the management of a comprehensive safety occupational health and environmental program for the entire San Francisco Mint and the separate warehouse location.
This opportunity is also open toStatus eligiblesunder Announcement19-MINT-315. Please refer to that announcement for details on open period, eligibility, and how to apply."
IT SPEC (NETWORK),"This position is an Open Title 5 Excepted Service Non-Uniformed Personnel position, open to the Public and to Veterans following the Minnesota National Guard Merit Placement plan. LOCATION: JFHQ, J6, (NGMN-IMT), Saint Paul, MN SELECTING OFFICIAL: CW3 John Pelto, 651-268-8569"
Licensed Practical Nurse (HIPU),"The Central Alabama Veterans Health Care System is recruiting for (7) Licensed Practical Nurse's (HIPU) to work in Patient Care Services (Mental Health) with a duty location in Tuskegee, AL. The full performance level of this vacancy is a GS-06. The actual grade at which an applicant may be selected for this vacancy is in the range of GS-03 to GS-06."
Child and Youth Program Assistant CY-01/02,The Area of Consideration for this vacancy announcement is worldwide. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) This is an open continuous announcement to provide a ready pool of available applicants as needed. Applicants will be referred to selecting officials as vacancies occur.
Sanitarian,"This position serves as a Sanitarian who will assist in ascertaining the environmental health needs of the area served located in Holton, Kansas. The position reports to the District Sanitarian."
Sanitarian,"This position serves as a Sanitarian who will assist in ascertaining the environmental health needs of the area served located in Holton, Kansas. The position reports to the District Sanitarian."
Heavy Mobile Equipment Repairer,"About the Position: This position is located at: The 81st Readiness Division, Equipment Concentration Site 126, Maintenance , Juana Diaz , Puerto Rico."
DOMESTIC ANIMAL CONTROL TECHNICIAN,You will serve as a DOMESTIC ANIMAL CONTROL TECHNICIAN in the OPERATIONS SECTION of MARINE CORPS BASE HAWAII.
Supervisory Nurse (Clinical),"About the Position: This position is located at the United States Army Medical Command, Weed Army Community Hospital, Department of Nursing, Obstetrics/Gynecology Services, Fort Irwin, California. This is a Direct Hire Solicitation. A recruitment or relocation incentive may be authorized."
Interdisciplinary (Ocean Policy Specialist),"The National Science Foundation is seeking qualified candidate for an Interdisciplinary (Ocean Policy Specialist)positionin the Division ofOcean Sciences (OCE)within the Directorate for Geosciences (GEO), Alexandria, VA.For more information on GEO please click here.
For more information on OCE please click here."
Registered Nurse-PACT Care Manager,"Please refer to ""Required Documents"" section to ensure eligibility.
Failure to provide the VA Form 10-2850a will result in disqualification."
Secretary (Unit Secretary),"Why work for the Federal Bureau of Prisons? You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
Physician - Invasive Cardiologist,"The facility provides care to approximately 82,000 veterans in the midlands and upstate SC. CBOCs are located in Anderson, Greenville, Spartanburg, Florence, Orangeburg, Sumter, and Rock Hill, and provide primary care, mental health, and telemedicine services. Dorn VAMC is affiliated with the University of South Carolina (USC) School of Medicine and provides teaching services for students and residents."
Registered Respiratory Therapist,"This part-time Registered Respiratory Therapist (RRT) position provides therapeutic and diagnostic cardiopulmonary care to Veterans at VA Central Iowa Health Care System located in Des Moines, Iowa. This position is aligned under the Primary Care/Specialty Care Service Line and reports to the supervisor of Respiratory Care and Diagnostic Services. *Annual Salary Will be Prorated to Reflect the Part Time Number of Hours Worked.*"
AIRCRAFT ELECTRICIAN,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to troubleshoot, modify, repair, and perform final functional and operational tests of complex electrical systems, components, and accessories in fixed or rotary winged aircraft"
Executive Director Medical Center,"VHA is home to the United States' largest integrated health care system, consisting of 150 medical centers, -1,400 Community-Based Outpatient Clinics, Community Living Centers, Vet Centers and Domiciliaries. Together, these health care facilities and the more than 53,000 independent licensed health care practitioners who work within them, provide comprehensive care to more than 8.3 million Veterans each year."
Interdisciplinary (Ocean Policy Specialist),"The National Science Foundation is seeking qualified candidate for an Interdisciplinary (Ocean Policy Specialist)positionin the Division ofOcean Sciences (OCE)within the Directorate for Geosciences (GEO), Alexandria, VA.For more information on GEO please click here.
For more information on OCE please click here."
"Deputy Director, Office of Center Operations","To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application."
Lead Contract Specialist,"This position is located in the United States Mint in San Francisco, CA. The primary purpose of this position is to serve as a Lead position over a team of non-supervisory GS-12 Contract Specialists."
Sales Clerk NF-01,"The Area of Consideration for this vacancy announcement is the local commuting area. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) eligible candidates are included in the area of consideration.) This position is located at Picatinny Arsenal, NJ To better expedite the hiring process, we recommend including full contact information (name, address, phone number, email, etc.) for professional and personal references on your resume."
Forestry Aid/Technician (Wildland Firefighter),Positions at the GS-05 level have been identified as one of the key fire management positions under the Interagency Fire Program Management (IFPM) Standard. These positions have been categorized as a Senior Firefighter (SFF) and require selectee to meet the minimum qualification standards for IFPM prior to being placed into the position. Detailed information regarding IFPM positions can be found at the IFPMwebsite.
SENIOR INSURANCE REGULATORY POLICY ANALYST,"The purpose of this position is to serve as a Senior Insurance Regulatory Policy Analyst and expert in the Federal Insurance Office, Department of Treasury. The Office, which is led by the Director, monitors all aspects of the insurance industry, including identifying issues or gaps in the regulation of insurers that could contribute to a systemic crisis in the insurance industry or the United States financial system."
IT SPECIALIST (SYSADMIN/CUSTSPT) (Title 32),"This National Guard position is for a IT SPECIALIST (SYSADMIN/CUSTSPT) (Title 32), Position Description Number D1650P01 and is part of the 151 ISS located in Salt Lake City, with the Utah Air National Guard. This vacancy is open Nationwide. The selecting supervisor for this vacancy is Mr. Lance Loveland. This is an indefinite obligated position. This vacancy requires military enlistment into the Utah Air National Guard."
RECREATION POOL  ATTENDANT NF1*,"Marine Corps Community Services (MCCS) is looking for the best and brightest to join our Team! MCCS is a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community. We offer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively."
ELECTRONIC ENGINEER/COMPUTER ENGINEER/COMPUTER SCIENTIST,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to lead teams of senior network engineers to design, implement, configure, assess, troubleshoot and repair major components of the Air Force Network (AFNet), the weapon systems used to operate and defend the AFNet and mission systems operating independent of the AFNet."
Diagnostic Radiologic Technologist (CT),"This position is located in the Imaging Service of the VA Medical Center in Los Angeles, CA. The Diagnostic Radiologic Technologist (Computed Tomography (CT)) requires specific knowledge of cross sectional human anatomy and its application in spiral, and/or, multi-slice computer tomography, inclusive of 3-D reconstruction scans, including drainages, biopsies, and peripheral vascular examinations. Provides coverage to the Computed Tomography (CT) section and is an expert in performing all CT."
Behavioral Health Senior Social Worker (Permian Basin CBOC),"This position is a GS12 Senior Social Worker located at the Permian Basin Community Based Outpatient Clinic (CBOC).
-Financial disclosure: Not required
-Work Schedule: Monday through Friday, 8:00am to 4:30pm, or as defined by supervisor
-Not a virtual position
Recruitment/relocation incentive may be authorized."
Senior Insurance Regulatory Policy Analyst,"The purpose of this position is to serve as a Senior Insurance Regulatory Policy Analyst and expert in the Federal Insurance Office, Department of Treasury. The Office, which is led by the Director, monitors all aspects of the insurance industry, including identifying issues or gaps in the regulation of insurers that could contribute to a systemic crisis in the insurance industry or the United States financial system."
Secretary (OA),"This position serves as the principal clerical and administrative support position in the Office of the Associate Director at the VA Central California Healthcare System (VACCHCS), located in Fresno, CA. This is a non-bargaining position. Current VA employees must submit their SF-50, Notification of Personnel Action, at the time of application."
Environmental Engineer,Serves as an Environmental Engineer in the Environmental Engineering and Occupational Health Office of the Office Center Operations at the Marshall Space Flight Center.
Environmental Engineer,Serves as an Environmental Engineer in the Environmental Engineering and Occupational Health Office of the Office Center Operations at the Marshall Space Flight Center.
Lead Contract Specialist,"This position is located in the United States Mint in San Francisco, CA. The primary purpose of this position is to serve as a Lead position over a team of non-supervisory GS-12 Contract Specialists."
Physician - Rheumatologist,"The facility provides care to approximately 82,000 veterans in the midlands and upstate SC. CBOCs are located in Anderson, Greenville, Spartanburg, Florence, Orangeburg, Sumter, and Rock Hill, and provide primary care, mental health, and telemedicine services. Dorn VAMC is affiliated with the University of South Carolina (USC) School of Medicine and provides teaching services for students and residents."
Program Analyst,"This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. Thisis a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.View common definitions of terms found in this announcement."
Housekeeping Aid  (PP) FT,"This position is in the Environmental Management Department at VA Maryland Health Care System. The Veterans Affairs (VA) Maryland Health Care System is a dynamic and progressive health care organization dedicated to providing quality, compassionate and accessible care and service to Maryland's veterans. This position has openings at Perry Point VA Medical Center location."
Housekeeping Aid  BT  PT,"This position is in the Environmental Management Department at VA Maryland Health Care System. The Veterans Affairs (VA) Maryland Health Care System is a dynamic and progressive health care organization dedicated to providing quality, compassionate and accessible care and service to Maryland's veterans. This position has openings at Baltimore VA Medical Center location."
Maintenance Mechanic,"This position is located in Facility Management Service, Boise VA Medical Center in Boise, Idaho."
Paralegal Specialist,"For more information on the Department of Justice and the United States Attorneys' Offices, visit http://www.justice.gov/usao/. As needed, additional positions may be filled using this announcement. This position is also being announced to All U.S. Citizens and Nationals under 19-KYE-10506658-DE."
Safety and Occupational Health Specialist (DEU-NW),"LOCATION: Lower Colorado Region,Yuma AreaOffice, Area Manager'sOffice, Yuma, AZ.Relocation expenses/incentives are not authorized for this vacancy."
Housekeeping Aid  LR  PT,"This position is in the Environmental Management Department at VA Maryland Health Care System. The Veterans Affairs (VA) Maryland Health Care System is a dynamic and progressive health care organization dedicated to providing quality, compassionate and accessible care and service to Maryland's veterans. This position has openings at Loch Raven VA Medical Center location."
Housekeeping Aid  LR  FT,"This position is in the Environmental Management Department at VA Maryland Health Care System. The Veterans Affairs (VA) Maryland Health Care System is a dynamic and progressive health care organization dedicated to providing quality, compassionate and accessible care and service to Maryland's veterans. This position has openings at Loch Raven VA Medical Center location."
PROFESSOR OF PROGRAM MANAGEMENT (INTERNATIONAL ACQUISITION),"The Defense Acquisition University (DAU) is the recognized leader as a corporate university, advancing the use of technology in all areas of education. Faculty members are ""thinking partners"" with customers and students, continuously improving product and service delivery to provide the right knowledge and skills at the point of need. This position is for a Professor of Program Management (International Acquisition), providing mission assistance, classroom offerings and on-line resources."
Executive Director Medical Center (Physician/Dentist) NAT 21,"VHA is home to the United States' largest integrated health care system consisting of 150 medical centers, nearly 1,400 community-based outpatient clinics, community living centers, Vet Centers and Domiciliaries. Together these health care facilities and the more than 53,000 independent licensed health care practitioners who work within them provide comprehensive care to more than 8.3 million Veterans each year. America's Veterans need you! To find out more, go to http://www.va.gov/jobs/."
Purchasing Agent,"The Purchasing Agent position is responsible for procuring a variety of technical items and services and will be located in either Juneau or Anchorage, Alaska. Final determination of location will be made upon job offer. Duties described in this announcement are listed at the full performance level, GS-06. For additional information about the duties of this position, please contact Denise Murphy at 907-743-9531 or denise.murphy@usda.gov."
Computer Engineer,About the Position: Defense Contract Management Agency uses the Expedited Hiring Authority to recruit and appoint qualified individuals directly into shortage category or critical need acquisition positions.
County Program Technician,"This is a County Program Technician position located in the Larimer County FSA office in Fort Collins, Colorado. Major responsibilities for this position can be found below."
Physician-Assistant Chief (Primary Care),"Annual salary will be determined by evaluating experience, education and length of practice through a formal pay-setting process. Recruitment/Relocation Incentive is NOT authorized
PCS (Permanent Change of Station) is NOT authorized.
EDRP (Education Debt Reduction Program) NOT authorized This position will remain open until filled.
Applications will be reviewed every Friday in the order they are received on: June 14, 21, 28, July 5, 12, 19, 26 and Aug. 2"
Safety and Occupational Health Specialist (MPP-NW),"LOCATION: Lower Colorado Region,Yuma AreaOffice, Area Manager'sOffice, Yuma, AZ.Relocation expenses/incentives are not authorized for this vacancy."
NURSE (CASE MANAGER),"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. The primary purpose of this position is to serve as a clinical case manager to provide timely, quality, comprehensive, cost effective healthcare resource utilization and care support for our Department of Defense (DoD)beneficiaries with complex care needs."
Chief Nurse - Quality Management Service,"Recruitment / Relocation incentives have been authorized for highly qualified candidates. The Chief of Quality Management, Nurse IV, is located at the VA Illiana Health Care System in Danville, IL. This position serves as the Chief of Quality Management aligned under the Office of the Director. The incumbent assures the development, organization and implementation of a Quality Management (QM) program."
Medical Instrument Technician- Hemodialysis,"Please refer to ""Required Documents"" section to ensure eligibility.
Failure to provide the VA From 10-2850c will result in disqualification."
PROGRAM ANALYST (Title 32),"This National Guard position is for a PROGRAM ANALYST (Title 32), Position Description Number D1010000 and is part of the 19th Special Forces located in Riverton, with the Utah Army National Guard. This vacancy is open Statewide. The selecting supervisor for this vacancy is LTC Michael Czipka."
Public Affairs Specialist,"This position is in Region 8, Office of Community Involvement Section, Office of Public Affairs, Office of Regional Administrator, Helena, MT. If selected, you must work at the location stated in this announcement. About Region 8:Region 8
Except in special circumstances, those new to the federal government will be hired at the starting salary (step 1) of the applicable grade range listed above."
Supervisory Recreation Specialist - Institutional (Recreation Supervisor),"Why work for the Federal Bureau of Prisons? You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
Psychiatrist (Director ATS),"You could be part of an important initiative to provide mental health care for our nations Veterans! The Department of Veterans Affairs (VA) needs mental health professionals who possess the energy, compassion, and commitment to serve those who serve our Country. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans. America's Veterans need you!"
CONTRACT PRICE AND COST ANALYST,"About the Position: Defense Contract Management Agency uses the Expedited Hiring Authority to recruit and appoint qualified individuals directly into shortage category or critical need acquisition positions. The pay band NH-03 includes the General Schedule grade equivalent to GS-12 and GS-13.
Other initiatives under the Acquisition Demonstration Project include simplified classification, streamlined hiring process and expanded developmental opportunities"
Food Service Worker,"In this position you will provide food service in the kitchen, Domiciliary cafeteria, and patient care areas. The major duties include preparing, setting up and serving food, cart transport, delivery/retrieval of trays and nourishments, and cleaning dishes, equipment and the work environment. The incumbent will also be responsible for receiving delivery items and performing other duties as assigned."
Program Specialist,"This position is located in the Education Product Service Line (PSL) at the Minneapolis VA Health Care System (MVAHCS) and reports to the Associate Chief of Staff for Education (ACOS/E). The Education PSL encompasses the following services/sections: 1) Clinical Applications, 2) Advanced Life Support Program 3) Education Affiliations, 4) Employee Education, 3) Library Service, 4) Medical Media, 5) Patient Health Education, and 5) the Simulation Center."
ADMINISTRATIVE SUPPORT ASSISTANT (MP),"This position is part of the Bureau of Land Management in Fairbanks, Alaska. Information about locations within Alaska can be found at: https://dcra-cdo-dcced.opendata.arcgis.com/ This announcement is being advertised concurrently under BLMAK-19-10520022-JE which is open to all qualified persons. You must apply to each announcement separately if you wish to be considered under both recruitment methods"
ADMINISTRATIVE SUPPORT ASSISTANT (DE),"This position is part of the Bureau of Land Management in Fairbanks, Alaska. Information about locations within Alaska can be found at: https://dcra-cdo-dcced.opendata.arcgis.com/ This announcement is being advertised concurrently under BLMAK-19-10520021-JE for current and former federal employees serving under a competitive service career or career-conditional appointment or reinstatement eligible. You must apply to each announcement if you wish to be considered under both methods."
Logistics Management Specialist,"About the Position: Permanent position as a Logistics Management Specialist in the AMCOM Logistic Center (ALC) at Redstone Arsenal, Alabama."
Sustainment Planner,"About the Position: Position is located at US Army Cadet Command Headquarters, Deputy Chief of Staff, G3/G37, CST Division, Fort Knox, KY"
Clinical Psychologist,"OUR MISSION: To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans?"
HUMAN RESOURCES ASSISTANT (MILITARY),"This National Guard position is for a HUMAN RESOURCES ASSISTANT (MILITARY), Position Description Number D2014000 and is part of the FL DCSPER, National Guard."
Forestry Aid/Technician (Wildland Firefighter),Positions at the GS-05 level have been identified as one of the key fire management positions under the Interagency Fire Program Management (IFPM) Standard. These positions have been categorized as a Senior Firefighter (SFF) and require selectee to meet the minimum qualification standards for IFPM prior to being placed into the position. Detailed information regarding IFPM positions can be found at the IFPMwebsite.
Information Technology Project Manager,"This is a non-bargaining unit position.
This is not a (drug) testing designated position (TDP). This position is located at the Small Business Administration, Office of Investment and Innovation in Washington, D.C. Serve as a technical project expert and operate as an IT Specialist, Project Manager and Data Management Analyst responsible for use of data and information management. Evaluate and evolve data management and underlying initiatives based upon successful solution deployments."
Housekeeping Aid  PP PT,"This position is in the Environmental Management Department at VA Maryland Health Care System. The Veterans Affairs (VA) Maryland Health Care System is a dynamic and progressive health care organization dedicated to providing quality, compassionate and accessible care and service to Maryland's veterans. This position has openings at Perry Point VA Medical Center location."
RN-Safety Patient Handling & Mobility Facility Program Coordinator,"Hospital Education is recruiting for the Safe Patient Handling & Mobility (SPHM) Program Coordinator at the VA Connecticut Healthcare Systems. The SPHM Program Coordinator serves as educator and consultant utilizing education theory in collaboration with Patient Care Service and other services. The SPHM Program Coordinator is a registered nurse who assesses, implements and evaluates the Safe Patient Handling and Mobility Program at VA Connecticut."
Supervisory General Engineer,"About the Position: The Anniston Army Depot is located in Anniston, Alabama in the foothills of the Appalachian Mountain chain halfway between Atlanta, GA and Birmingham, AL just off Interstate 20. The Depot is the largest employer in Calhoun County with approximately 4000 employees."
FABRIC WORKER (T32),"This National Guard position is for a FABRIC WORKER (T32), Position Description Number D1210000 and is part of the FL SMO, National Guard."
Information Technology Project Manager,"This is a non-bargaining unit position.
This is not a (drug) testing designated position (TDP). This position is located at the Small Business Administration, Office of Investment and Innovation in Washington, D.C. Serve as a technical project expert and operate as an IT Specialist, Project Manager and Data Management Analyst responsible for use of data and information management. Evaluate and evolve data management and underlying initiatives based upon successful solution deployments."
Emergency Management Specialist (RAP Program Manager),A successful candidate in this position will serve as the Radiological Assistance Program (RAP) Program Manager for Regions5 and7 providing technical leadership and radiological assistance to protect the environment and general public health and safety.
SUPERVISORY EQUAL EMPLOYMENT MANAGER,You will serve as the Command Deputy Equal Employment Opportunity Officer (CDEEOO) in the NAVAL AIR SYSTEMS COMMAND (NAVAIR). The incumbent provides the Commander with a view of how major planning decisions impacting mission requirements may affect the civilian work force in both civilian personnel and Equal Employment Opportunity arenas. This position is equivalent to a GS-14.
POWERED SUPPORT SYSTEMS MECHANIC (Title 32),"This National Guard position is for a POWERED SUPPORT SYSTEMS MECHANIC (Title 32), Position Description Number D1067000 and is part of the Army Aviation Support Facility located in West Jordan, with the Utah Army National Guard. This vacancy is open Statewide. The selecting supervisor for this vacancy is SSG David Sedgewick."
Civil Engineer (Hydraulics/Hydrologic) (Recent Graduate),"Reclamation is a contemporary water management agency. Reclamation is best known for Hoover Dam on the Colorado River, Grand Coulee Dam in the Columbia River and Folsom Dam on the American River. Today we are the largest wholesaler of water in the country and the second largest producer of hydroelectric power in the Western United States. View ourvideo titled ""Traditions, Talent and Teamwork"" here."
TRANSPORTATION SPECIALIST,"You will serve as a TRANSPORTATION SPECIALIST in the N33 Force Travel, Operations Department of COMNAVRESFORCOM."
Maintenance Worker Helper,"About the Position:This is a Maintenance Worker Helper, WG-4749-05 summer hire position with the U.S. Army Corps of Engineers, Fort Worth District, Operations Division. This position will be filled at the following location: Belton, Texas. This position is temporary not to exceed 6 months and may be extended without further competition."
Land Law Examiner,"Explore a new career with the BLM - where our people are our greatest natural resource.
For additional information about the BLM, please visit Our website."
Management and Program Analyst,"OIG is organized into three line elements: the Offices of Investigations, Audits and Evaluations, and Healthcare Inspections; along with the Office of Contract Review, the Office of Management and Administration and the Office of Special Reviews. In addition to the Washington, DC, headquarters, OIG has offices located in more than 30 cities throughout the country."
Locksmith,"This Position is performs work involved with repairing, overhauling, modifying, testing, and installing a variety of locking devices typically found on doors, desks, compartment, mobile equipment, safes, vaults, and other secured locations. The Work includes the manufacture and duplication of keys and the keying and combinating of locking mechanisms. The work requires knowledge of the construction operation, and functional characteristics of locking device, and skill in manufacturing replacement"
SUPERVISORY SOCIAL WORKER (HCHV PROGRAM COORDINATED ENTRY SPECIALIST),"The Supervisory Social Worker is the Coordinated Entry (CE) Specialist for Homeless Programs. They are the first-line supervisor for all staff in the HCHV Program. The incumbent manages daily operations of the HCHV Program. This position enables VA homeless programs to fully collaborate with the community, including the Continuum of Care (Coe) and community partners, in the coordinated entry efforts in that community."
AIRCRAFT MECHANIC (Title 32),"This National Guard position is for a AIRCRAFT MECHANIC (Title 32), Position Description Number D0483000 and is part of the Army Aviation Support Facility located in West Jordan, with the Utah Army National Guard. This vacancy is open statewide. The selecting supervisor for this vacancy is SFC Benjamin Love."
Program Specialist (Patient Representative),"This is a full performance level, non-supervisory position that is located in the Veterans Health Administration of the Department of Veterans Affairs at the Saginaw, VAMC. Incumbent serves as the Patient Advocate of the Aleda E. Lutz Medical Center and is organizationally aligned under the Veteran Experience Office. The incumbent maintains records of patient inquiries or inquiries on behalf of a patient using the electronic patient tracking system."
Clinical Pharmacy Specialist (CSP_NSP _HD),"Pharmacists must keep continually abreast of new developments in the fast-moving drug field and be aware of emerging patterns, systems, and techniques in pharmacy practice which may be applied to their hospital pharmacy practice. Work Schedule: Mon-Fri 8-4:30 Required to rotate for weekend/holiday/night shifts.
Financial Disclosure Report: Not required
Relocation/Recruitment Incentives: Not Authorized
PCS/Relocation Allowances: Not Authorized"
"Equal Employment Opportunity Specialist, GS-0260-11/12 (MPP-LL)","Reclamation is seeking a career professional looking for an opportunity to capitalize on his/her experience as an Equal Employment Opportunity Specialist. Responsibilities include serving as an Equal Employment Specialist, primarily processing Reclamation-wide Formal EEO Complaints as well as performing a variety of duties on behalf of the Bureau of Reclamation, including its regional offices."
Air Conditioning Equipment Mechanic,"The Dallas Veterans Hospital is looking to hire an Air Conditioning Equipment Mechanic. A qualified Air Condition Equipment Mechanic will have multiple years of experience maintaining, repairing, and operating all related equipment he will be responsible to maintain."
CHIEF COMMERCE BRANCH,"If not already a member of the SES serving under a career appointment, the individual selected must have his/her executive qualifications certified by a Qualifications Review Board of the Office of Personnel Management before appointment to this position, and will be required to serve a one-year probationary period in this position. The actual salary will be set by determining the appropriate SES level for the person selected. For more information regarding the SES, go to www.opm.gov/ses."
Program Support Assistant,"Serves as the Mental Health Services Program Support Assistant (PSA) for the Chief; Mental Health Service (MHS) and is a key member of Veterans Affairs Ann Arbor Healthcare System MHS. In this capacity, he/she works with the Chief, MHS and the Administrative Officer (AO) for the MHS. Providing administrative, technical and management expertise for the MHS, MHS leadership and other staff members."
SHEET METAL MECHANIC (AIRCRAFT/PAINTER) SUPERVISOR,"Click on ""Learn more about this agency"" button below to view Eligibilities being considered and other IMPORTANT information. This is an Air Reserve Technician (ART) position. ARTs are part of the regular career civil service and enjoy all the benefits granted to Federal employees in the competitive civil service. In addition, ARTs are required to maintain their active membership in the AF Reserve unit where assigned. ARTs receive on average one weekend of military training per month."
SUPERVISORY GENERAL ENGINEER,"You will serve as a Deputy Public Works Officer in the Public Works Department NAV FACILITIES ENGINEERING COMMAND SE located in Guantanamo Bay, Cuba. Recruitment and Relocation Incentives maybe authorized."
MATERIALS EXAMINER AND IDENTIFIER (Title 32),"This National Guard position is for a MATERIALS EXAMINER AND IDENTIFIER (Title 32), Position Description Number D1908000 and is part of the USPFO located in Draper, with the Utah Army National Guard. This vacancy is open Statewide. The selecting supervisor for this vacancy is SFC Michael Yates."
Advanced Practice Nurse (Mid-Level Practitioner),"Why work for the Federal Bureau of Prisons?
You can have a meaningful career with an agency that truly values a diverse workforce. You will find a diverse workforce employed from entry level jobs to senior management positions. We protect public safety by ensuring federal offenders serve their sentences of imprisonment in facilities that are safe, humane, and provide reentry programming. Employees at correctional facilities perform correctional work regardless of their specific occupation."
Registered Nurse Minor Procedure,The Richmond VA Medical Center is seeking a Registered Nurse Minor Procedure to be a member of the Nursing Service Team.
Partnership Specialist GG-0301-07/09/11/12- Census- INT-JAB,"This is a Work at Home (WAH) position. The Duty Station will be the selectee's home address.Selected candidate(s) must reside in one of the following counties in New Hampshire:
Coos County
Grafton County
Carroll County
Relocation will not be paid. Applicants that apply by the first cut off date will be considered first."
Partnership Specialist GG-0301-07/09/11/12- Census-EXT-JAB,"This is a Work at Home (WAH) position. The Duty Station will be the selectee's home address.Selected candidate(s) must reside in one of the following counties in New Hampshire
Coos County
Grafton County
Carroll County
Relocation will not be paid."
Heavy Mobile Equipment Repairer,"About the Position: This position is located at: The 81st Readiness Division, Area Maintenance Support Activity 146, Jackson, MS About the Surrounding Area: Jackson, MS is an area rich with art, culture, sports, elegant dining, and historical attractions, yet is in the midst of many outdoor recreational areas. Description of the Working Environment: Work is performed in a maintenance shop setting."
CYP Program Assistant (Multilevel),"Navy Child and Youth Programs (CYP) offers high quality early care and youth services in center-based (birth - five), facility-based (age 5-12), and recreational environments (teen; youth sports and fitness). CYP Assistants perform entry level direct care duties while in training to advance to higher level duties. They work across age groups and locations as needed, but are typically assigned to a primary age group and location. Learn more about us at: https://www.navycyp.org."
Supervisory Interdisciplinary,About the Position: **Currently authorized 10.64% Cost of Living Allowance - subject to change **Salary includes applicable locality pay.
